sentence,label
"Despite its shortcomings , Girls Ca n't Swim represents an engaging and intimate first feature by a talented director to watch , and it 's a worthy entry in the French co",m
"Flawed , but worth se",e
"With Dirty Deeds , David Caesar has stepped into the mainstream of filmmaking with an assurance worthy ",o
The humor and humanity of Monsoon Wedding, 
Lookin, 
"Try Hell House , which documents the cautionary Christian spook-a-rama ",o
A compelling motion picture that illustrates ,a
"As comedic spotlights go , Notorious C.H.O. hits", 
It 's a day at the b,e
Frida i,s
"What sets it apart is the vision that Taymor ,", 
"Stevens has a flair for dialogue comedy , the film opera",t
"Extremely well acted by the four primary actors , this is a seriously i",n
The film exudes the urbane sweetness that Wood,y
K-19 : The Widowmaker, 
"It 's good , hard-edged stuff , violent and a bit exploitative but also nicely done , mo",r
Cinea,s
It 's a rare window on an ar,t
"... begins with promise , but runs aground after being snared in its own tangled plo",t
Perhap,s
Cho 's, 
... creates a visceral sense of its characters ' lives and conflicted emotions that carries it far above ,.
"A sensitive , moving , brilliant",l
An ed,g
A reasonably entertaining sequel to  's surprise family hit that may strain adult credibi,l
-LRB- Reno -RRB- delivers a monologue t,h
there is, 
"a confident , richly acted , e",m
"A touching , small-scale story of family responsibility and", 
Arteta directs on,e
The casting of von Sydow ... is its,e
"No , it 's not as single-minded as John Carpenter 's original , but it 's sure a lot smarter and more unnerving than the ",s
A gem of a romantic crime ,c
"Stands as one of the year 's most intriguing movie experiences , letting its imagery s",p
"... the first 2\/3 of the film are incredibly captivating and insanely funny , thanks in part to interesting cinematic devices -LRB- cool visual backmaskin",g
This movie g,o
There 's a part of us that can not help be ente,r
An old-fashioned drama of substance about a teacher 's slide down the slippery slope of dishonesty after an ,e
What 's not to like about a movie with a ` children 's ' song th,a
This English-language version ... does full honor to Miyazaki 's teeming and often unsettling la,n
The pleasures that it doe,s
"Not everyone will welcome or accept The Trials of Henry Kissinger as faithful portraiture , but few can argue that the debate it jo",i
Th,e
"Like the original , this version is raised ",a
Despite its Hawai,i
A brutally honest documentary about a much anticipat,e
"Filled with honest performances and exceptional detail , Baran is a gentle film with dramatic p",u
Sparkles ,i
"In its dry and forceful way , it delivers the same message as Jiri M",e
... a triumph of emotionally and narratively complex filmmaking, 
-LRB- Haynes ' -RRB- homage to such films as `` All That Heaven Al,l
"Simply put , `",`
An intense and effective film about loneliness and the chilly anonymity of the enviro,n
"Although fairly involving as far as it goes , the film does n't en",d
Proves mainly that South Korea,n
A very funny romantic comedy about two skittish New York middle-a,g
Top-notch action power,s
Beresford nicely mixes in as much humor as pathos to take us on his sentimental jou,r
It really is a shame tha,t
"I stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delig",h
Probably the best case for Christianity since ,c
"A gently funny , sweetly adventurous film that makes you feel genuinely good , that is to say , entirely unconned by", 
Would be an unendurable viewing experience for this ultra-provinc,i
Visually fascinating ... an often intense character study about f,a
A lyrical metaphor for cultural and, 
Schütte 's dramatic snapshot of the artist three days before his ,d
"A slick , engrossi",n
"S1M0NE 's satire is not subtle , but", 
"It 's a quirky , off-bea",t
"While some will object to the idea of a Vietnam picture with such a rah-rah , patriotic tone , Soldiers ultimately achieves its main strategic objective : dramatizing the human cost of the conflict that came to define a gen",e
Even if you do n't know the band or the album 's song,s
The solid filmmak,i
Films abou,t
"Seen in that light , Moonlig",h
"It 's endlessly inventive ,", 
It, 
An, 
"Far From Heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling ",d
A movie ,t
"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus opera",n
Affectiona,t
"A drama of great power , yet some members of the audience will leave the theater believing they h",a
The large-frame IMAX camera lends itself beautifully to filming the teeming, 
The result is more depressing than liberating ,","
A story about intelligent, 
It is also beautif,u
It is n't that the picture is unfamiliar ,","
Sa,m
"It 's a technically superb film , shining with", 
"Wilco fans will have a great time , and the movie should win the band a few new converts ",","
Tsai has a well-deserv,e
The date ,m
The fact is that the screen is most alive when it seems most likely that Broom,f
Leguizamo and Jones are bo,t
I liked th,i
... there is enough originality in ` Life ' to distance it from the pack ,o
A solid and refined piece of moviemaking imbued with passion and att,i
Nettelbeck has crafted an engaging fantasy of flavours a,n
"With or without the sex , a wonderf",u
"On the surface a silly comedy , Scotland , PA would be forgettable if it were n't such a clever adaptation ",o
"A weird , arrestin",g
"A fine film , but it would be a lot better if it stuck to Betty Fisher and l",e
A first-class road movie that proves you can run aw,a
"You might want to take a reality check before you pay the full ticket price to see `` Simone , '' and consider a DVD rental", 
Well cast and well directed - a powerful drama with enough sardonic wit ,t
A backstage must-see, 
"There 's back-stabbing , inter-racial desire and , most im",p
"The film sounds like the stuff of lurid melodrama , but what makes it interesting ",a
Jones ... makes a great impression as the writer-director of this little $ 1.8 mil,l
In the disturbingly involving famil,y
Below may not mar,k
There ',s
Happily stays close to the ground in a spare and simpl,e
Its sheer dynamism is ,i
For his first, 
it somehow managed to make its way past my crappola radar and find a small place in ,m
Perhaps it 's cliche to call the film ` refre,s
` Drumline ' shows a level o,f
It doe,s
The limited sets and small confined and dark spaces also are homages to a classic low-bu,d
The movie is well do,n
-LRB- A -RRB- wonderfully, 
"The fascination comes in the power of the Huston performance , which seems so larger th",a
The last scenes of the film are ,a
Mr. Kos,h
Predictable storyline and by-the-book scripting is all ,b
Antwone Fisher certainly does the trick of making us care about its protagonist and celebrate his, 
"One feels the dimming of a certain ambition , but in its place a sweetness , clarity and emotional openness that recalls the classics of early Italian neoreal",i
"It challenges , this nervy oddity", 
Whenever yo,u
The Pianist is Polanski ,'
"It is a testament of quiet endurance , of common concern , of reconciled survival", 
"This Orange has some juice , but it 's far from fresh-",s
A, 
High Crimes knows the mistakes tha,t
Cusack 's just brilliant in ,t
Knows how to make our imaginat,i
Jae-eun Jeong 's Take Care of My Cat brings a beguiling freshness to a coming-of-age story with such a b,u
"The overall fabric is hypnotic , and Mr.", 
"Evokes a palpable sense of disconnection , ma",d
M,a
Paul Bett,a
Paul Bettan,y
C,o
"A touching , sophisticated film that almost seems lik",e
... a trashy little bit of fluff stuffed with enjoyable performances ,a
"An inventive , absorbing movie that 's as hard to ",c
It made me want to get ,m
I thought the relationsh,i
"-LRB- Caine -RRB- proves once again he has n't lost his touch , bringing off a superb performance in an admittedly m",i
"Bogdanovich puts history in perspective and , via Kirsten Dunst 's remarkable performance , he showca",s
This, 
A captivat,i
Those who are n't put off by the film 's austerity w,i
"It 's a clear-eyed portrait of an intensely lived time , filled w",i
Reveals h,o
It also shows how deeply felt emotions can draw people together across th,e
"With the same sort of good-natured fun found in films like Tremors , Eight Legged Freaks i",s
"A sharp , amu",s
The sen,t
A powerful performance from Mel Gibson and a brutal 90-minute battle sequence that does everything bu,t
"A graceful , moving tribute to t",h
A coming-of-age tale from New Zeala,n
"Made to be Jaglomized is the Cannes Film Festival , the annual Riviera spree of flesh , buzz , blab ",a
The charming res,u
If ,y
A hugely rewarding experience that 's every bit as enlig,h
A rip-roaring comedy action fest th,a
"If there 's no art here , it 's still a good yarn -- which is n",o
Simultaneo,u
There is a subversive element to this Disney cart,o
"An unforgettable look at morality , family , and social expectation through the prism", 
"An enjoyable , if oc",c
Miyazaki is one of world cinema 's most wondrously gifted arti,s
"If Ayurveda can help us return to a sane regimen of eating , sleeping and stress-reducing contemplation", 
"Meeting , even exceeding expectations , it 's the best sequel since The Empire Strikes Back ... a majestic achievement , an epic of astonishing grandeur and sur",p
Leigh is one of the rare directors wh,o
He allows his cast members ,t
This, 
Poetry in, 
"While it can be a bit repetitive , overall it 's an entertaining and ",i
"Directing with a sure and measured hand , -LRB- Haneke -RRB- steers cle",a
The entire movie establishes a, 
I found The Ring mo,d
The filmmakers want nothing else than to ,s
Amari has dressed up this little parable in a fair,l
Rabbit-Proof Fence will proba,b
"But it will just as likely make you weep , and it will do so in a way that does n't make you feel like a su",c
Both heartbreaking and heartwarming ... just ,a
This masterfully calibrated psychological thriller thrives o,n
The film 's sense of image,r
The Pianist -LRB- is -RRB- a supremely hopeful cautio,n
"Here is a divine monument to a single man 's struggle to regain his life , his dignity and his mu",s
"Strange it is , but delightfully", 
"Elegant , mannered a",n
An average coming-of-age tale elevated by the wholesome twist of a pesky mother i,n
The ingenuity that Parker displays in freshening the play is almost in a clas,s
Decasia is what has happene,d
"The unexpected thing is that its dying , in this shower of black-and-white psychedelia , is quite", 
"A droll , bitchy frolic which pokes fun at the", 
Wit,h
Ryan Gosling ... is at  a pow,e
A minor work yet there 's no denying t,h
"As an introduction to the man 's theories and influence , Derrida is all but useless ; as a portrait of the artist as an endlessly inquisitive old man , ",h
The film is a verbal ,d
Imp,e
"Yes , but ",a
You 'll get the enjoyable basic mi,n
But not a wh,i
What a great way to spend  units of y,o
"The movie is hardly a masterpiece , but it does m",a
As s,i
Th,i
"Passionate , irrational , long-suffering but cruel as a tarantula , Helga figures prominently in this movie , and helps keep the proceedi",n
`` It 's all about the imag,e
Vividly conve,y
Hollywood Ending is not s,h
Maybe Thom,a
"A compelling yarn , but not q",u
"On the Granger Movie Gauge of  to  , The Powerpuff Girls is a fast , frenetic , fun",n
The film has several strong p,e
I 've never bought from telemarketers, 
Perfec,t
"The funny thing is , I did n't mind all thi",s
-LRB- Shyamalan -RRB- turns the, 
"A sexy , peculiar and always entertai",n
An entertain,i
"A highly spirited , imaginative kid 's movie that broaches neo-Augustinian ",t
Call it magic realism or s,u
Raimi and his team could n't have done any better in bringing the story of Spider-M,a
The director explores all three sides of his story with a sensitivity and an inquisitiveness remin,i
"Well-acted , well-directed and , for ",a
It 's a satisfying summer blockbuster and worth a look, 
Boomers and ,t
Real Women Have Curves wears its empowerment on its sleeve but even its worst harangues are easy to swallow thank,s
"Ultimately , `` MIB II '' succeeds due to its rapid",-
Stage director Sam Mendes showcases Tom Hanks as a depression era hit-man in this dark tale of reve,n
"Sitting in the third row of the IMAX cinema at Sydney 's Darling Harbour , but I sometimes felt as though I was in the tiny two seater plane that carried the giant camera around Aust",r
The real charm of this trifle is the deadpan comic fac,e
"What 's so fun about this silly , outrageous , ingenious thriller is the d",i
Watch,i
Strip it of all its excess debris, 
"As it is , it 's too long and unfo",c
An immensely entertaining look at some of the unsung heroes of 20th ,c
"This familiar rise-and-fall tale is long on glamour and short on larger moralistic consequences , though it 's told with sharp ears and eyes for the tenor o",f
This beautifully ,a
Brian Tufano 's handsome widescreen photography and Paul Grabowsky 's excellent music turn this fairly parochial ,m
It makes ,c
A thoroughly entertaining comedy that uses Grant 's own twist of acidity to prevent itself from ,s
"Using a stock plot , About a Boy injects just enough", 
What Eric Schaeffer has ac,c
But it 's defiantly and, 
The hard-to-predict and absolutely essential chemistry between the down-to-earth Bullock and the nonchalant Grant proves to, 
A positively thrilling combination of ethnography and ,a
"Mr. Clooney , Mr. Kaufman and all their collaborators are entitled to take a deep bow for fashioning an engrossing entertainment out of an almost sure-fire p",r
"Definitely funny stuff , but it 's more of the ` laughing ",a
Easily the most thoughtful fictional examination of the root causes of anti-Semitism ever seen ,o
A real win,n
Family portrait of need, 
The pitch must ,h
"Uplifting as only a document of the worst possibilities of mankind can be , ",a
Director David Jacobson gives Dahmer a consideration that the murderer never, 
The film has a terrific look and Salma Hayek has, 
A decided lack of spontaneity ,i
The ,p
"It 's Burns ' visuals , characters and hi",s
"As literary desecrations go , this makes for perfectly acceptable , occasionally very enjoyable c",h
"You 'll forget about it by Monday , though , and if they 're old enough to have developed so",m
"While I ca n't say it 's on par with the first one , Stuart Little  is a light , fun cheese puff of a m",o
"Strange , funny , twisted , brill",i
A genuinely moving and wisely unsent,i
Heaven is a haunting dramatization of, 
The Mothman Prophecies is best when illustrating the demons bedevilli,n
Plays out with a dogged and eventually winning squareness that would make it the darling of many a kids-an,d
An entertaining British hybrid of come,d
"Alain Choquart 's camera barely stops moving , portraying both the turm",o
Mostly Martha could have used a little trimming --  or  minutes could be cut an,d
The only pain you 'll feel as the credits roll is your stomach grumblin,g
"Hardly an objective documentary , but it 's great cinematic polemic ... love Moore or loathe him , you 've got to admire ... the intensity with which he 's willing to express his convicti",o
The mark of a respectable summer blockbuster is one of two things, 
"The film is visually dazzling , the depicted events dramatic , funny and poi",g
A directoria,l
is ,o
What makes the movie work -- ,t
"Weaver and LaPaglia are both excellent , in the kind", 
Even the digressions are f,u
Mr. Spielberg and his company just want you to enjoy yourselves without feeling conned, 
And they succeed merril,y
Melodrama, 
A perfectly pleasa,n
"Coppola 's directorial debut is an incredibly layered and stylistic film that , despite a fairly slow paced , almost humdrum approach to character development , still manages at least a decent attemp",t
"At the end , when the now computerized Yoda finally reveals his martial artistry , the film ascends to a kinetic life so teeming that even c",r
Wang Xiaoshuai directs this intricately structured and well-realized, 
It 's hard to imagine anybody ever being `` in the mood '', 
"Bogdanovich taps deep into the Hearst mystique , entertainingly reenactin",g
A moving tale of, 
Clooney directs this film always keeping, 
"Even if you do n't understand what on earth is going on , this is a movie that will stimulate hours of post viewing discussion , if only to be", 
.,.
A fantastically vital movie that manages to invest real, 
Lawrence plumbs personal tragedy and also the huma,n
"Though a capable thriller , somewhere al",o
Just about the surest bet for, 
It would be disingenuous to call Reno, 
"This is a movie that is what it is : a pleasant distraction , a Friday night diversion , an excuse to ",e
There is a certain sense of experimentation and improvisation to this film that may n,o
"The Four Feathers has rewards ,", 
"A delicious , quirky movie with a terrific screenpla",y
This story still seems timely and, 
"And there 's an element of heartbreak to watching it now , with older and wiser eyes , because we know what will happen after Greene 's stor",y
The bodily function jokes are about wh,a
The performances are amiable and committed ,","
"This time , the hype is quieter , and while the movie is slightly less succes",s
There 's plenty to enjoy -- in no ,s
"With a romantic comedy plotline straight from the ages , t",h
Bu,t
"Though few will argue that it ranks with the best of Herzog 's works , Invincible shows he 's back in form , with an astoundingly rich film ",.
"`` Catch Me '' feels capable of charming the masses with star power , a pop-induced score and sentimental ",m
By no means a great mov,i
The casting of Raymond J. Barry as the ` assassin ' greatly enhances the qual,i
Despite Besson 's high-profile name b,e
"This documentary is a dazzling , remarkably unpretentious reminder of what -LRB- Evans -RRB- had ",","
"A thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequen",c
As sati,s
Methodical, 
"A witty , trenc",h
For most of the distance, 
By the standards of knu,c
One of the most gloriously unsubtle and adrenalize,d
-LRB,-
An absorbing and unse,t
T,h
"Though it 's not very well shot or composed or edited , the score is too insistent and the ",d
The entire cast is extraordinar,i
"Yakusho , as always , is wonderful as the long-faced sad sac",k
"Young Hanks and Fisk , who vaguely resemble their celebrity parents , bring fresh g",o
A captivati,n
The film sparkles with the the wisdom and, 
"If -LRB- Jaglom 's -RRB- latest effort is not the director at his most sparkling , some of its repartee", 
"Like The English Patient and The Unbearable Lightness of Being , The Hours is one of those reputedly `` unfilmable '' novels that has bucked the odds to emerge as an exquisite motion pict",u
"Just about the best straight-up , old-sch",o
A chilling tale of one of the great crimes of 20th Century France : the murd,e
"An oddity , to be sure , but one that you might wind up remembering with a degree of affection ra",t
"While the film is not entirely successful , it still manages to string together enough charming moments to w",o
A winning piece of work filled with love f,o
"E.T. works because its flabbergasting principals , 14-year-old Robert MacNaughton , 6-year-old Drew Barrymore and 10-year-old", 
Helps to remind the First World that HIV\/AIDS is far from being yesterday 's news ,.
A heartening ta,l
The vistas are sweepi,n
Jackson and c,o
"It may be a somewhat backhanded compliment to say that the film makes the viewer feel like the movie 's various victimized audience members after a while , but it also happens to be the movie 's most admirabl",e
Charlot,t
"It is about irrational , unex",p
"A delightful stimulus for the optic nerves , so much that it 's forgivable that t",h
Defies ,l
But darned if it does n't, 
A complex psychological drama about a father who returns to his son 's home after decades, 
Writer and director Otar Iosseliani 's pleasant tale about a factory worker who escapes for a holiday in Venice reveals how we all need a playful respite from the grind to refresh ou,r
This is NOT a retread o,f
Swe,e
"A smart , arch and r",a
Keenly observed and refreshingly natural, 
... begins, 
Davis ... gets vivid performances from her cast and pulls ,o
"` it 's better to go in knowing full well what 's going to happen , but willing to let the earnestness of its execution and skill of its cast take you down a", 
Cynics need n,o
"Funny , somber , absurd , and , finally", 
`` Red Dragon '' is ,e
An obvious copy of one of the best film,s
But it is entertaining, 
"It is a popcorn film , not", 
Succeeds only because Bullock and Grant were made to share the silv,e
"Both flawed and delayed , Martin Scorcese 's Gangs of New York still emerges as his most", 
As an,y
"On that score , the film cert",a
"As the movie traces Mr. Brown 's athletic exploits , it is impossible not to be awed by the power and g",r
A moving and solidly entertaining comedy\/dr,a
Thanks to conf,i
"Beautifully shot , delicate",l
A macabre and very stylized Swedish fillm about a modern city where all the reli,g
A, 
"Informative , ",i
"... once the true impact of the day unfolds , the power of t",h
"An honest , sensitive story from a Vietnamese point of vie",w
A buoyant romantic comedy about frien,d
The film 's intimate camera work and searing performances pull us deep into ,t
It 's the perfect star vehicle f,o
"Gaunt , silver-haired and leonine , -LRB- Harris -RRB- brings a tragic dimension and savag",e
A disturbing ex,a
It 's been made with an innocent yet fervid conviction that our Hollywood has all, 
"Not only a reminder of how they used to make movies , ",b
A three-hour cinema master class ,.
Eyre is on his way to becoming the American In,d
"A witty , whimsical feature deb",u
Warm in its loving yet unforgivingly inconsistent dep,i
I l,o
"It provides a grim , upset",t
Cli,n
A m,o
Much of this slick and sprightly CGI feature is sufficiently funny to amuse even the most resolutely unreligious paren,t
Rarely, 
Go, 
Jacquot 's strategy allows his cast the benefit of, 
"Quitting delivers a sucker-punch , and its impact is all the greater beause director Zhang 's last film , the cuddly Show",e
"By not averting his eyes , Solondz forces us to consider the unthinkable , the unaccept",a
"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to es",c
"While general audiences might not come away with a greater knowledge of the facts of Cuban music , they 'll be treated to an", 
A fascinating documentary that provides a rounded and revealing overview of this a,n
"Birthday Girl lucks out with Chaplin and Kidman , who are capable of anteing up some movie star charisma when they need it to sell us on this twisted love story , but who can also neg",o
An interesting look behind the scenes of Chicago-ba,s
Sharp edges and a deep vein of s,a
There ',s
Rock solid family fun out of the g,a
The Ya-,y
Translating complex characters from novels to the big screen is an impossible task but they are true to the essence of what it ,i
The to,u
"I liked About Schmidt a lot , but I have a feeling that I would ha",v
Steers has an unexpectedly adamant streak of warm-blooded empathy for all his disparate Manhattan denizens --, 
That Storytelling has value can not be deni,e
"Not even Solondz 's thirst for controversy , sketch",y
"Once the downward spiral comes to pass , Auto Focu",s
A knowing sense of humor and a ,l
"A rich tale of our times , very well told with an appropriate ",m
The characters are complex and qu,i
"In all fairness , I must report that the children of varying ages in", 
"As gory as the scenes of torture and self-mutilation may be , they are pitted against shimme",r
"Efficient , ",s
"Gorgeous scenes , masterful performances , but the sickly sweet gender normati",v
The hot topics of the plot are relegated t,o
"It 's usually a bad sign when directors abandon their scripts and go where the moment takes them , b",u
"A memorable experience that , like many of his works , presents weighty issues ",c
"Executed with such gentle but insistent sincerity , with such good humor and appreciation of the d",a
T,h
Director Claude Chabrol has, 
"It is not what you see , it is w",h
"A deftly entertaining film , smartly played ",a
A documentary to make the stones weep -- ,a
I hope the movie is widely seen and deba,t
A thought-provoking look at how Western foreign policy - however well intentioned - can wr,e
"Asks what truth can be discerned from non-firsthand experience , and specifically questions cinem",a
The journey to the secret 's eventu,a
"A quiet , disquieting ",t
Darkly fun,n
