sentence,label
Martha Stewart says she #;s heading to prison NEW YORK Sayi,n
"France #;s  #;Watergate #; trial opens PARIS, Nov  (AFP) - In an affair described as France #;s equivalent of Watergate,  former government officials and senior police officers go on trial in Paris Monday for running a phone-tapping operation", 
Israeli parliament set for historic vote ,o
Elephant DNA sheds light on ivory origin By analyzin,g
"Former NHL Defenseman Paul Shmyr Dies (AP) AP - Paul Shmyr, the former NHL and WHA defenseman who captained the Edmonton Oilers in Wayne Gretzky's", 
He wa,s
Quake Data Bringing New Insights (AP) AP - An unprecedented amount of data from a major Central California earthquak,e
Palestinian killed in car ,b
The car exploded about  metres from an Israeli occupation military check,p
"Rah-Rah, Sis-Boom-Bah for Google! Or Not The cheerleading for Google from the analysts at leading brokerage firms is starting to sound a lot like the days of th",e
Playing out the big game Alabama and Tennessee c,o
Mickelson confident despite change in equipment, 
Shareholder rights as Liberty could raise voting stake LO,n
MW) - Shares of News ,c
Antitrust clears wireless merger, 
"Krispy Kreme Posts Loss, Stock Off  Pct  LOS ANGELES (Reuters) - Krispy Kr",e
N target=/stocks,/
"N&lt;/A&gt;  on Monday reported a quarterly loss due to store closings and  sluggish sales, sending its stock down  p",e
Westwood carries narrow lead Englishman Lee Westwood will take a o,n
Steelers' Roethlisberger Misses Practice (AP) AP - Pittsburgh Steelers quar,t
Iraq rebels set to surrender arms Shia mi,l
Jones #; Sydney medals safe MARION JONES will be able to keep the three gold and two bronze medals she won at the Sydney  Olympics even if it is proved she was taking banned drug,s
"Mac  #;Widget #; App Set to Make Windows Debut As one developer prepares to move his application from Mac to Windows, others reaffirm their commitment to the platformdespite competing directly with App",l
Oracle sees enterprise future for Apple Apple #;s appeal to enterprise and high-end computing gr,e
"Bin Laden Still At Large  Years After US Attacks The US-led anti-terrorism coalition is still hunting terror mastermind Osama bin Laden, the chief suspect in", 
Multifunction Devices Draw Back-To-School Crowd  SAN FRANCISCO (Reuters) - The consume,r
BT secures \$m US tele,c
Huge Black Holes Formed Quickly After Big Bang (SPAC,e
OPEC and Ivan Bring Pressure on Oil Prices Opec members have split on whether their output sho,u
"Fraud trial for Spanish bank boss The chairman of Spain's largest banking group, Santande",r
Terrified Filipinos flee new typhoon Terrified survivors w,e
Football Coach Holtz C,a
Passengers safe after plane bomb scare A plane load of British-bound, 
British Airways flight  ,f
"Apple recalls laptop batteries In cooperation with the US Consumer Product Safety Commission, Apple has voluntarily recalled some of its lapt",o
The batteries in question are found, 
The recal,l
Also fr,o
"Canada reaches final at  Nations Cup LAKE PLACID, NY (CP) - The Canadian women #;s hockey team advanced to the fina",l
"Unrest is stirring among Chinese factory workers DONGGUAN, China -- Heralded by an unprecedented series of wa",l
"Asian-angrez Khan is  #;Best of British #; If Amir Khan gets an Olympic boxing gold on Sunday, will our Britain-based Indian cousins be willing to call themselves Asian", 
Mortgage loan fall points to, 
Qwest settling SEC charges Denver-based Qwest C,o
The Associated Press and Reuters reported Friday afternoon that Qwest (NYSE: Q) ha,s
Blair Opponents Renew Attack Over Iraq (AP) AP - Political opponents of Prime Minister To,n
Software tracks status of batch processes BMC Software announced Tuesday the release of BMC Batch Impact Manager,","
"Giving Investors a Say Like cicadas, debates about corporate governance pop u",p
"In , for example, the business community protested Securitie",s
Breeden #;,s
S amp;P revises Scottish Re Group outlook to stable Standard  amp; Poor #;s revised i,t
"N: Quote, Profile, Research) agreem",e
Building a better turkey through biotech Most of the turkeys gracing the nation #;s dinner tables Thursday have been selectively bred for their white meat for so many generations that simply walki,n
Union threatens Zimbabwe blockade after deportation South Africa #;s main l,a
Perpetual Entertainment to beam up Star Trek MMORPG San Francisco developer/publishe,r
Although it is less than two years old,","
Thai PM to Address Nation as More Bombs Hit South (Reuters) Reuters - Bomb blasts rocked southern\Thailand, 
"A second\bomb exploded at a busy food stall in Yala province on Friday,\wounding", 
"Culturally Worlds Apart, Children T",o
Terror Tape Boasts ,u
Forces Humiliated (AP) AP - An audiotape purportedly by key terror suspect Abu Musab al-Zarqawi boasts in an apparently recent r,e
"Was Year of Netsky Worm, Web Firm Sophos Says (Reuters) Reuters - ",n
Advertisers find a demographic gold mine: fantasy sports Ad,v
"Chairman says weak dollar,", 
MW) -- British p,e
November Consumer Pr,i
"Victim swam in shark feeding frenzy A MAN killed by a shark on the Great Barrier Reef was spearfishing amid a shark feeding frenzy, a crew sent to rescue him said ",t
Seahawks CB Lucas suffe,r
Ticket Process Begins The Expos seek deposits from fans who had registered for season ti,c
Wall Stre,e
A real ,p
Touches of Wei,r
"In this spirit, three new video games brin",g
Best airs his views ,o
Judge Reduces Jail Time for Calderon (AP) AP - A judge o,n
"Tigers glad to leave Boston after one-sided sweep More than gladly, the Tigers left the excitement of Fenway Pa",r
The nation may not be pin,i
McDonald #;s po,s
Oak Brook-based McDonald #;s is reporting a solid four-point-two percent, 
Go-ahead fo,r
This is just a prelimina,r
Boeing Deal Faces Justice D,e
Review  The Justice Department has been asked to review d,o
"Roche, to address questions of potential conflict of interest, ",a
Killing of Hostage ,c
Joint Venture Wins Enron Pipeline Auction (Reut,e
"Doping case was flawed, report finds MONTREAL A series of errors and misunderstandings led to the botched drug test that resulted in", 
"China says confirmed death toll in mine explosion jumps to  (Canadian Press) Canadian Press - BEIJING (AP) - The death toll from China's worst coal mine accident in four years rose to  on Wednesday, the government sa",i
Paes-Bhupathi lose to Ancic-Ljubicic (Reuters) Reuters ,-
IBM reaches settlement in pension suit NEW YORK ,-
UAE president, 
"Good news:  #;Phishing #; scams net only \$ million The online cons known as  quot;phishing quot; have cost US consumers \$ million,", 
"In addition, the study found that three-quarters of wired Americans have noticed an inc",r
Pakistan bans meetings after car bomb kills  ISLAMA,b
RIM patent dispute referred back to lower court A US appeal court has delivered a mi,x
"It upholding a decision that RIM had infringed on patents held by NTP, but canc",e
"Clothes junkies flock Model Elizabeth Jagger, daught",e
Picture:A,p
People watchers and pure clothes junkies f,l
Thousands sign up for British tycoon Branson #;s space flights  quot;Star Trek quot; star William Shatner and Red Hot Chili Peppe,r
Cisco flaw opens networks to attacks Cisco has warned in a security advisory that some networks with its routers could be vulnerable to deni,a
"Reds rock Smoltz in - victory ATLANTA - If all goes according to plan, the Braves will clinch the division tonight, but that won #;t lessen the sudden unease they feel at John Smoltz #;",s
Samsung Debuts Thumbnail Mobile Pho,n
The MMCmicro can read at  Mbp,s
"Government lab, company lead project to develop ",n
Chile steps up security for Apec A major security operation is under way in Chile ahead of an annual Apec summit in the South, 
Warner offers sales pitch for state NO,r
Mark Warner used his time in front of an audience ,o
BHP B,i
India seize,s
"EU Moving Close to Deal on Turkey Talks (Reuters) Reuters - On the eve of a landmark summit at\which EU leaders will decide on opening membership talks with\Turkey, ",t
State discloses ventur,e
Cahill yesterday released results for the  venture capital funds the state pension plan invested i,n
"Boozer Makes Jazz Debut in Win Over Knicks (AP) AP - Carlos Boozer had eight points and nine rebounds in his first preseason game for Utah, and free agent Keith McLeod finished with  points and six assists in the Jazz's - win over t",h
Ohio Has Clearer Picture of Ballots Now (AP) AP - Most of the presidential election provisional ballot,s
Johan Santana ,s
"Often, he overwhelmed and owned the",m
Notables Dodgers' Brad Penny left his first start in more than five weeks in the fourth with irritation of a nerve in ,h
Drug-industry veteran to be Biovail #;s, 
Microsoft CFO:, 
Pakistan ,s
Scotland Joins Growing Anti-To,b
"Stocks Fall on \$ Oil, Drug Sector Woes Stock",s
Sharon seeks coa,l
Bluetooth mini-mouse ppne,t
British FM rejects US reason for deporting Cat S,t
"Colombian militia leader dead Bogota, Colombia", 
"Staley Questionable, Bettis Probable for Steelers (Reuters) Reuters - Pittsburgh Steelers running\back Duce Staley is listed as questionable for Sunday's game at\Cincinnati with a hamstring inj",u
"Elizabeth Edwards Has Breast Cancer (AP) AP - Elizabeth Edwards, wife of former Democratic vice presidential candidate John Edwar",d
John Kerry conceded the preside,n
MSO Shares Still Confined by Martha #;s Woes Martha Stewart may soon he,a
Four dead in Argentine high school rampage A high school student wielding a mm pistol shot and killed four cl,a
Italy crippled as strike bites Rome: Millions of Italian workers took part in a one-day general strike ag,a
US: A,b
"The beer, called B(E) will also contain guarana and g",i
American giant: Schlopy snares sixth BEAVER CREEK - Ski racing requires a rare blend of fe,a
Aussies lead by  runs Australia lost three more wickets as they look to extend their lead against India on the fourth day of the ,f
Astronaut can,d
NASA #;s newest astronaut candidates experienced their first taste of zero gravity and are now preparing to make their first jet flights without the company of instructo,r
"Dell, AOL Team Up in Schools Initiative (AP)", 
Raids Hit Iraq's Falluja at Start of Ramadan  BAGH,d
Pierce Knocked Out of Bell Challenge (AP) AP - Top-seeded Mary Pierce was knocked out of the Bell Challenge in the quarterfinal rou,n
Suspected File-Sharing  #;Hubs #; Raided Federal agents yesterday took their first steps to go after individuals who illegally trade copy,r
Dakar winner Sainct killed in Rally of the Pharaohs Th,r
Full Sudanese peace talks get off to a shaky start (AFP) AFP - Peace talks on the conflict in the Sudanese region of Darfur ran straight into trouble on the first day of formal negotiations as angry rebel l,e
Crimson defense shows off its good side The best offense in the first half of yesterday's Harvard-Yale game was the Cri,m
A wake-up ca,l
"David Andorsky, a resident at Brigham and Women's Hospital, woke up fro",m
Andorsky had been on du,t
Lycos withdraws vigilante anti-spam screensaver Lycos UK has withdrawn its anti-spam screensaver download from its portal following cr,i
Marathon Saboteur Priest Accused of Indecency A controversial Irish priest who sabotaged the mens Olympic marathon by leaping on the race leader appeared in court today on indecency char,g
"Former Bush adviser returns to cybersecurity WASHINGTON - Howard Schmidt, a highly regarded technology executive who was former spec",i
"Bush for cybersecurity,", 
Pound ends week with modest gain on dollar (AFP) ,a
Space station crew does some repair work The two-man crew of the international sp,a
Gennady Padalka and Mike Fincke spent five and a half hours plugging in new antennas and replaced a, 
European Shares Shrug Off Record Euro (Reuters) Reuters - European shares shrugged off a spike in\the euro to a fre,s
Insect Vibrations Tell of Good Times and Bad Thorn,b
Now scientists are, 
"NTT DoCoMo, mmO to  #;partner #; on UK i-mode British mobile phone network O will launch an i-mode service next year after licensing th",e
NL Wrap: Cubs Earn th-Inning Win in Pittsburgh  NEW YORK (Reuters) - Corey Patterson scampered home  following Salomon Torres's wild pitch in the first extra inning  to give the p,l
Soldier Says Mission Not Refused From Fear (AP) AP - ,a
"NL notables The Mets' Jeff Keppinger got his first major league steal in the seventh, ",s
Gaza schoolgirl dies of in,j
Target Posts Higher Profit  NEW YOR,k
N target=/stocks/quickinfo/fu,l
N&lt;/A&g,t
Paris showca,s
The event provided a showcase for just what kind of stylish techn,o
"Cricket #;s final frontier conquered DEEP in the heart of the Indian subcontinent, the Australian Test side last night was", 
European stocks end down EUROPEAN stocks ended lower today after a terrorist attac,k
SuperGen Pulls, 
Cancer Drug Application  NE,w
Woods Makes Run Tiger Woods shoots six-under in the second round to get back in contention at the Tour Championship and trails -year-old ,j
Miller takes weekly honors with fifth,","
How high have expectations risen for Bode Miller? T,h
"A peace deal is reached in Najaf NAJAF, Iraq -- Iraq #;s top Shi #;ite cl",e
Sprewell Suspended Latrell Sprewell was suspended for one game by the NBA on Tuesday for yelling a sexual vulgarity at ,a
"Suspect vote lets Belarus leader keep power, opposition cries foul (AFP) AFP - Voters in Belar",u
Ask Kim Komando Q: I have Window,s
When will Microsoft release, 
Trip framed with closing win They could sit Rudy Tomjanovich in front of a Houston Rocket,s
Austr,a
"US reveals anti-piracy proposals A new report calls for the creation of new anti-piracy offices across the US, Euro",p
Alleged fake trades lead to indictments Federal indi,c
Update : ADM #;s Earnings Sky,r
MAURESMO CAUTIOUS OVER COMEBACK Amelie Mauresmo is set to adopt a low-risk strategy as she r,e
The Frenchw,o
Mistakes lead to Berlin fall, 
On first down fro,m
New Crop of Portable Players Nips at IPod (AP) AP - At least a dozen portable music players are angling to steal sales away from ,a
"In the past month alone, five companies hav",e
New Tack Wins Prisoner's Dilemma The winner of this year's competition in the classic computerized strategy game shows that a tactic based on cooperating with team memb,e
By Wendy ,m
Grossma,n
Brazil Protests to CAS Over De Lima Assault Brazil #;s Olymp,i
Gates Tops Forbes List of Riche,s
Ontario to dedicat,e
DOJ Gets Tough on, 
Scientists Follow Doomed Matter on a Ride Around a ,b
Their technique provides a new method to measure the mass of a black hole,;
Baseball ball sells for \$m THE baseball that Barry Bonds hit for h,i
"HIH head admits guilt RAY Williams, the eccentric executive who built insurer HIH from nothing into a multi-billion dollar insurance g",i
"Afghan Refugees Vote in Pakistan, Iran (AP) AP - Afghan refugees thronged polling stations in Pakistan and Iran on Saturday to vote in their war-torn homeland's landmark pres",i
French president: Britain got little for su,p
American deaths The Pentagon has identified the following US service members who w,e
ABB won #;t, 
Shuttle's Spri,n
Cisco  #;Buys #; Into Manag,e
New push to stop child sol,d
"Armed Men Attack Afghan Polling Station (AP) AP - Armed men wounded one police officer at a refugee camp polling site in Pakistan, just hours before the Afghan refugees were to vote in their country's presi",d
Microsoft in final testing on Windows Server  SP The software wa,s
Earliest Signs of Winemaking Found in China (Reuters) Reuters - Neolithic people in China may have\been the first in the world to ,m
Intel to Join in a Project to Extend Wireless Use Intel is teaming up with telecommu,n
Truex locks up Busch crown Dale Earnhardt, 
He li,k
Veritas puts homemade touch on new OpForce Veritas has retooled its OpForce management software to improve the way the code works with its existing products and, 
"Pacquiao irked by Barrera statement MANNY PACQUIAO was piqued when told about the statements made by Marco Antonio Barrera and his promoter, Oscar dela Hoya, moments after Barreras thrilling wi",n
Palestinians prepare to bury Arafat Palestinians are preparing to bury leader Yasser Ar,a
Study: Recycling Cost Overstated Nova S,c
Now a study finds that w,h
By Stephen Leah,y
LA Times: Oracle's Ellison Mulls NFL Team Purchase (Reuters,)
"Chief Executive\Larry Ellison, one of the world's richest people, is looking at\possibly owning a Nati",o
Another one-run game won? This is too good TORONTO -- Maybe th,e
After last night's - escape over th,e
LA City Council OKs tax relief package LOS ANGELES -- The City Council unanimousl,y
New forces mark Bolivia election Bolivians vote in local ,e
"Desert hospitality, honor, and the war outside the door One Najaf family's s",h
Gardner not saddened Shed no tears f,o
"Yes, that really was Gardner, the only man brave enough to not just stand up to the invincible Alexander Karelin bu",t
More clues hint Mars watery past BEIJING,","
Growth May Slow After Th,i
Rebound: US Economy Previe,w
McBride inspires US to victory Brian McBride and debutant Eddie Johnson gave the United States a - vic,t
In na,m
If you're, 
Canada Confirms Second Mad Cow Case Canada on Sunday confirm,e
British Economic Growth Slows British economic growt,h
Preliminary figures from the Office for Nationa,l
"Banks, Law Agencies Team Up To Fight Phishing Digital PhishNet is the latest effort to share information that leads to immediate action against p",h
By Thomas C,l
A group of businesses and la,w
Browns #; Warren Wants To Clock  #;Big Ben #; CLEVELAND -- Rookie quarterback Ben Roethlisberger could, 
Ponting eyes winning finish Ricky Ponting is confident of his team winning the Mumbai Test and ending the series as it began -- on a victori,o
Australia #;s skipper himself has a point to prov,e
"Snow urges faster growth in eurozone Sluggish growth in the eurozone is holding back the global economy, ac",c
"Speaking during a visit to Dublin,", 
O #;Rourke more then stats and hairstyles Soccer is a sport with a field  yards w,i
Often times the only players that stand out are the ones, 
"Mac OS X  #; Rock Solid  #;The Macintosh, with its OS X operating system, is rock soli",d
Slovene Center Is Fee,l
Australian economy to gr,o
"Edwards blasts new OT rules In Saturday radio address, VP candidate says measure curtails pay at a time wo",r
ATLANTA (,c
John ,e
McGahee Helps Bills ,b
After  months of recuperation and countless questions about the stre,n
McGahee had the go-ahe,a
AL notables Baltimore's Miguel Tej,a
He'd gone without a hit in back-to-b,a
The Yankees' Alex Rodriguez entered his final, 
He grounded into an inning-ending double play with ,t
Microsoft Order Pulled by Beijing Amid Focus on L,o
UPDATE -Kenyon refutes criticism over Mutu sacking Chelsea chief executive Peter Kenyon has rejected criticism of his club #,;
Arrival! SMART- Moon Probe Reaches Target, 
"ET, November", 
"Bush Promises Europe Trip to Heal Divide (AP) AP - President Bush said Friday he'll carry a message of shared values and goals to Europe during a trip planned after his inauguration, reaching o",u
"Tired of waiting for production, Jags cut Douglas JACKSONVI",l
Future Uncertain for Rare Hawaiian Bird One of Earth ,#
The aging male po #;ouli died ,i
Hotmail Upgrade Finally Starts As the mailbox ,s
According to reports the upgrade wil,l
Chavez urges opposition to re,c
US Dollar Falls Against the Yen The dollar fell against the yen and the euro in Asia on Monday for the first time in three sessions as US hedge funds and Japanese exporters resumed sell,i
"Kane, Kung Share Safeway Classic Lead (AP) AP - Candi",e
Longhorn's, 
"Microsoft readies CD launch of SP For the nearly  percent of the UK who still use dial-up Internet connections, XP SP will soon be at hand without a long ",d
Meyer Sp,u
Tigers look to the future Manager Alan Trammell keeps ta,l
"About scoring some runs, wi",n
"But really, this is all about next year for the ",d
CalPERS goes after  #;egregious #; exec pay The California Public Employees #; Retirement System wants to rein in what ,i
US soldier seeks Canada asylum A US army deserter see,k
Iran Says Can Mass Produce Medium-Range Missiles  TEHRAN (Reuters) - Iran said on Tuesday it was now able to  manufacture large quantities of its m,e
"World oil prices boom Global oil prices boomed on Wednesday, spreading fear that energy prices will restrain economic activity, as traders worried abo",u
FA to test for EPO The Football Association announced today they will introduce a test for the banned drug erythropoietin (EPO) , 
Miller makes most of chan,c
Such is the problem with a first co,m
"Computer Associates ex-CEO pleads not guilty Sanjay Kumar, former chief executive of software maker Computer Assoc",i
"One Man #;s Opinion - Cal review In football, just as in many other aspects of life, it is the bottom line ",t
"In that respect, this ",g
Darfur peace talks set to restart Negotiations b,e
Upside of a Do,w
Shock Jock Dodges Censors With M,o
"Ryding a little lower in London; Tiger loses touch This past Sunday night (or Sunday afternoon Eastern Standard Time), my roommates and I hung our heads in defeat as Colin Montgomerie put away th",e
Widening market share in data st,o
"In the second quarter, EMC's sales of the machines that organize and retrieve d",a
Chronicle increases its daily circulation The Houston Chronicle #;s daily circula,t
Alberta teens excel in international testing In recent testing by the Organization for Economic Co-operation and Development (OECD),","
"Analyzing the Election Data from Ohio Like many of you, I spent a long time watching the election returns come in, an",d
I saw exit polls that did not correspond to the r,e
I heard abou,t
"I have spent a long time over the past day checking information about the election, i",n
And a,f
"Zo Seeks Another Comeback with Nets  EAST RUTHERFORD, New Jersey (Sport",s
Fellow Jets, 
EMPSTEAD,","
"Jerricho Cotchery, the rookie wide receiver, h",a
Report: Notre Dame Contacts Meyer Utah Head Coach Urban Meyer hollers to his team during the first half ,o
Charges ,v
DeLay Link,e
Ottawa wants DNA from child pornographers OTTAWA - The fede,r
The Liberals intr,o
Insurgents Kill  Iraqis as Violence Surges for Third Day Armed insurgents opened fire on a bus full of civilians and drove a car bom,b
China to suspend share flotations The Chinese Government is to suspend all share, 
Holland: Police raid ends terror siege, 
Three suspects wer,e
Special forces had launched an ea,r
Report: Eisner won #;t be on Disney #;s board, 
US regulatory body fin,e
"No keeping low profile The University of Utah football team still must wait another few weeks, but the time will be marked by anticipatio",n
"Germany gets aggressive Brazil, Berlin, my first home g",a
"It doesn #;t get any better than that, Jrgen Klinsmann said in preparation for the showdown between the German soccer team and the  world-champ",i
Cassini gets look at Titan Since it is the only moon in the entire solar system wit,h
Report: Idled Garciaparra will have MRI on Achilles #; Nomar Garciaparra was scratched from the starting lineup for the second straight, 
Turkish stocks soar on EU hopes Turkey's stock market closes at a record high on hopes th,e
NEC retakes supercomputer ti,t
NEC Comput,e
Two China Banks Uncover Fake Web Sites (Reuters) Reuters - Two of China's lead,i
The Week Ahead Comme,r
Aldonas arri,v
US Chamber of Commerce opens small-b,u
Merger could affect Ne,x
Service betrays Paradorn in Vienna American Robby Ginepri advanced to the quarterfinals of the CA Trophy in Vienna on Thursday, 
Charter to launch voice-over-IP serv,i
"LOUIS - Charter Communications became the latest company to offer Internet telephone service Monday, announcing ag",r
"Cambodia, US to take first steps towards FTA: commerce minister (AFP) AFP - Cambodia and the United States have agreed to start negotiations that could lead to a free trade agreement", 
"Questions Linger Over Russia School Siege BESLAN, Russia - Russian soldiers fle",d
"As Beslan buried more victims Friday, a week after the ",b
PepsiCo Buys General Mills Join,t
"N: Quote, Profile, Research) will pay \$ million f",o
"N: Quote, ",p
"Return to Ancient Greece enthralls athletes OLYMPIA, GREECE -- Brad Snyder #;s shot put travelled ju",s
"David Hare Sees How War Plays on World Stage   LONDON -- ""Stuff happens!"" Donald Rumsfeld once exclaimed in response to a reporter's ",q
"They're also free to love their lives and do wonderful things, and th",a
"Amex sees \$M charge; axes , American Express said Friday it expects to ",r
John Kerry voted for ,i
Both candidates now find their education agendas driven by, 
Stronger provisions NEWS C,o
Next-G,e
Batterymates lift Cubs Greg Maddux was on top of his game and he even chipped in at ,t
Insurance Companies Subpoena,e
"Pitcairn Women Back Their Men Ahead of Sex Trial  SYDNEY (Reuters) - A group of women on Pitcairn Island in  the South Pacific are standing by their men, who face underage  sex charges, saying having sex at age  is a tradition dati",n
"Genetic Testing Challenges Medical Ethics (AP) AP - Advances in genetic testing are placing strains on the principle of doctor-patient confidentiality, as doctors grapple with whether to tell a patient's relatives when the patient has an inherited disease or mutation that could af",f
Czechs Rout Germany in World Cup of Hockey (AP) AP - The Czech Republic scor,e
Music Industry Files More Piracy Lawsuits The recording industry launched a ,n
Hanging Up The Helmet: NASCAR Legend To Retire It only seemed fitting that Rusty Wallace would announce his coming retirement at Day,t
"After all, that #;s where Wallace #;s friend and competitor Dale", 
Muddling Through (or Not,)
"GMA finally has that elusive electoral mandate, and the air of uncertainty that pervaded Manila in the weeks leading up to the election has given way to (for some) an air of cautious optimism or (for others) resignation that nothing ever changes much in the Philippines and that the strong leadership and fundamental changes needed t",o
Intern,e
Net Goes Out For Bid With management responsibilities ,o
"Astros outfielder Beltran day-to-day Houston, TX (Spo",r
